breakout_lookback,exit_lookback,rs_threshold,trail_trigger_pct,trail_offset_pct,rs_slope_weeks,total_trades,win_rate_pct,profit_factor,expectancy_rs,total_pnl_rs,avg_win_rs,avg_loss_rs,avg_win_pct,avg_loss_pct,max_drawdown_rs,avg_weeks_held
1,4,10,5.0,4.0,2,2885,57.33102253032929,2.3312057215108064,1962.8048571819443,5662692.012969909,5995.4648488520015,-3455.570143810967,15.24506018304071,-8.793936945654611,-398101.61687278375,8.244714038128249
2,5,5,3.0,4.0,2,2919,55.49845837615622,2.3304571274505057,1870.9307008593562,5461246.7158084605,5904.96075177868,-3159.9612795019248,15.008021112445624,-8.045252580910942,-350769.93712091167,8.095238095238095
3,4,10,3.0,4.0,2,2463,54.526999593991064,2.33000431933049,1868.479760194316,4602065.6493586,6003.167645831549,-3089.4540169581874,15.26910459033982,-7.86633339567309,-360330.9538392285,7.911490052781161
3,4,5,5.0,4.0,2,2636,56.71471927162367,2.3276536908406125,1956.7834899513352,5158081.27951172,6048.957704421726,-3405.004810340719,15.389033761282843,-8.671878606048743,-332002.1888991287,8.49051593323217
2,5,10,5.0,4.0,3,2459,58.72305815372102,2.325832722058571,2020.101855410606,4967430.46245468,6034.681392123337,-3691.280263814207,15.345041196199148,-9.40334521115162,-342947.7401880082,8.873932492883286
3,5,0,5.0,4.0,2,2834,57.974594213126316,2.325262606089694,1958.2862509347212,5549783.235149,5926.639630662112,-3516.108881636314,15.072657601024266,-8.959195297754022,-346062.9445511834,8.971418489767114
2,5,5,2.0,4.0,2,2971,53.95489734096264,2.324006114711484,1812.6679744572132,5385436.55211238,5897.048055349258,-2973.341725593918,14.985686371027423,-7.571622505761409,-373704.90918290894,7.768428138673848
2,4,10,5.0,4.0,3,2508,57.216905901116434,2.321347003483717,1962.340371455375,4921549.65161008,6025.2233559184815,-3471.2449805526,15.32032969920703,-8.84606965412807,-308940.9464969281,8.42304625199362
2,3,5,3.0,4.0,2,3053,52.63675073698002,2.3202458557828707,1765.5511632409732,5390227.701374691,5894.818361251643,-2823.475383925795,14.984611125301932,-7.188604720687238,-337235.6782562351,7.26039960694399
3,5,10,2.0,4.0,2,2469,53.94896719319563,2.320022760212199,1840.6631185240258,4544597.23963582,5996.557487431764,-3027.983582782137,15.248666529256448,-7.710802275795437,-380337.02156507876,7.899959497772377
2,5,0,3.0,4.0,2,3216,54.94402985074627,2.314301301781167,1811.3077775517538,5825165.81260644,5804.92621752781,-3058.7569453175984,14.74991031101756,-7.791605882068992,-347862.888352911,8.121268656716419
3,3,10,2.0,4.0,2,2563,51.15099492781896,2.3141957179696044,1745.5663585749317,4473886.57702755,6009.278277014165,-2719.0712812603992,15.282366912916048,-6.923876330816972,-362638.84992133174,7.123683183769021
2,4,5,2.0,4.0,2,3014,52.986065029860654,2.3137128116670005,1774.8474378834705,5349390.17778078,5899.407227448897,-2873.6507864891387,14.993165001142357,-7.317434342778413,-368185.5543741286,7.524883875248839
1,5,10,3.0,4.0,2,2943,55.55555555555556,2.3123583808282566,1862.554381850615,5481497.54578636,5907.2338284794505,-3193.2949264354284,15.017373958255815,-8.127681706917384,-384406.8266509101,7.982670744138634
2,4,0,3.0,4.0,2,3271,53.928462243962095,2.311737669680022,1771.07999986498,5793202.67955835,5787.775824609791,-2930.613055775262,14.706919633353287,-7.467905974621707,-345830.77271365095,7.833384286151024
3,3,5,5.0,4.0,2,2728,54.10557184750733,2.3116331534632826,1853.2122990524817,5055563.15181517,6036.5626350352995,-3078.5968829847684,15.359490847593412,-7.840550430736678,-315070.3124213312,7.774193548387097
2,5,0,2.0,4.0,2,3268,53.51897184822521,2.3083113211929738,1759.4249010189103,5749800.576529799,5800.243882553083,-2893.2363226172088,14.735656107078848,-7.3710241434798816,-366718.42446090747,7.8341493268053854
3,5,0,5.0,4.0,3,2763,57.5823380383641,2.307655447414838,1939.7638098855593,5359567.4067138005,5944.799282260508,-3497.1060165210492,15.122047237722143,-8.918287946226776,-324911.9903813256,8.986246833152371
2,5,0,5.0,4.0,3,2982,57.780013413816235,2.3073861057670397,1921.6165030313582,5730260.41203951,5869.559229846715,-3481.3265615459723,14.924492874088642,-8.872840833940575,-368012.45354349026,8.870892018779342
1,4,10,3.0,4.0,2,2994,54.37541750167001,2.3060816775053734,1824.1013962372044,5461359.58033419,5923.122565607384,-3061.115634315249,15.057395223967891,-7.790116992483093,-398564.90291642956,7.680360721442886
3,4,10,2.0,4.0,2,2503,52.93647622852576,2.3048693768155335,1796.614984204119,4496927.30546291,5994.86306736948,-2925.5231398995334,15.24533628227251,-7.449567722308885,-371956.44867142756,7.617259288853376
3,5,5,5.0,4.0,3,2523,57.78834720570749,2.3040142275954643,1988.5191586899844,5017033.837374831,6079.842555981392,-3612.5601964751545,15.468626274694273,-9.208822106178403,-335155.04405800626,8.949266745937376
2,4,0,2.0,4.0,2,3317,52.637925836599344,2.2995203417412293,1723.227493277573,5715945.59520171,5792.926534407427,-2799.811670193291,14.717002411139788,-7.134811822330863,-350156.73594412766,7.587277660536629
3,3,10,5.0,4.0,3,2406,53.99002493765585,2.298287204406465,1864.6461596450663,4486338.660106029,6113.873171597545,-3121.574155193478,15.554613119279969,-7.958481292236556,-304915.331765919,7.8038237738985865
2,5,5,5.0,4.0,3,2717,58.04195804195804,2.2947376271492064,1960.3921139172655,5326385.373513211,5986.21291129433,-3608.6599891210085,15.224109908677516,-9.193463985350922,-349470.3678180091,8.830327567169672
1,5,10,2.0,4.0,2,3002,53.89740173217855,2.292666788117256,1798.3957348512893,5398783.99602357,5917.956703394492,-3017.6805997606357,15.04129606704577,-7.681101011993096,-393985.180830908,7.6682211858760825
